Event,Date,Location,Title,Listed,Slides,Video,Other,Abstract
Lightning Talk US 2006,2006-10-10,"Austin, TX",Why I Love The ASF,,,,https://www.flickr.com/photos/twleung/269693747/in/photolist-pQfyc-pQfGr-477tK1-pQgXa-pQgkp-2bqGmjw-MK39be-5AEHSa-28JN9c7-2a7nmxe-28JMY65-2bqGtAq-Pn623C-Pn63FY-JTBZG-JTBX1-MK3az6-2bqGkgj-2buZkhc-MK37PX-5AEJqV-5AJYBs-5AEKoi-gP4aJ-5AK1bd-5AELAk-gXdD6-5AJWy7-28JNa8q-2bqGpPh-JTMX8-pJXUf-5AEBGt-5AEGS4-K1yn2-JTBUQ-gLpsq-JTBP7-gLpyj-JTjJe-gLpoZ-gLpnt-gLppK-gLpw2-gLpzq-gLpph-gLpwc-gLpvw-gLpvc-gLpmZ,
Lightning Talk EU 2007,2007-05-02,"Amsterdam, Netherlands","Internationally, Why I Love The ASF",,,,https://www.flickr.com/photos/twleung/2045071413/in/album-72157603234892909/,
Lightning Talk US 2008,2008-11-04,"New Orleans, LA","Nakedly, Why I Love The ASF",,,,https://www.flickr.com/photos/twleung/3018578344/in/photolist-5AK1bd-5AELAk-gXdD6-5AJWy7-28JNa8q-2bqGpPh-JTMX8-pJXUf-5AEBGt-5AEGS4-K1yn2-JTBUQ-gLpsq-JTBP7-gLpyj-JTjJe-gLpoZ-gLpnt-gLppK-gLpw2-gLpzq-gLpph-gLpwc-gLpvw-gLpvc-gLpmZ-gLpuY-gLpud-gLpt3-5AK1Ys-2hAQv52-7dEBjB-7dJvhC-2hAMrRm-7nR7R9-2hAQvj5-2hAMs1Q-7dJvaq-2hARccN-NZBkq-gLpsb-gLpyJ-gLpo1-gLpwH-gLptW-gLptK-gLpuw-gLpmm-2hARnBk-477CBd,
Lightning Talk ?? 2009,,,"Statistically, Why I Love The ASF",,,,,
Lightning Talk ?? 2010,,,"Blah, Blah, Blah, Why I Love The ASF",,,,,
Lightning Talk ?? 2011,,,Why I'm Not Writing A Lightning Talk This Year,,,,,
Lightning Talk ?? 2012,,,"Geez, I can't remember!",,,,,
Camel One 2012,2012-05-01,"Boston, MA","About: Apache - The Foundation, The Way, The Projects",,https://www.slideshare.net/shanecurcuru/the-apache-way-16769653,,https://communityovercode.com/2012/05/camelone-2012-presentation/,I was invited to CamelOne to give an overview about the ASF as a whole and how the ASF Way works.
OSCON 2012,2012-07-17,"Portland, OR",Managing Community Open Source Brands,,https://www.slideshare.net/shanecurcuru/managing-community-open-source-brands,,https://communityovercode.com/2012/07/oscon-presentation/,An early version of my practical trademark policies for open source projects.
ApacheCon NA 2013,2013-02-26,"Portland, OR",Managing Apache Project Brands,,https://www.slideshare.net/shanecurcuru/managing-apache-project-brands,https://www.youtube.com/watch?v=PA-VhGHFzKc,https://communityovercode.com/2013/02/apachecon-presentation/,
